CLDR,epd - Meaning,epd - Note,epd - Unicode,epd - Additional informations
shield,"A shield, as blocks swords in close combat. Color and style varies across platforms, but generally depicted in a kite shape with a metal border and simple pattern. Commonly used to represent various content concerning battle, defense, security, and protection. Apple and Microsoft’s designs feature a red and white sawtooth pattern, Facebook and WhatsApp’s blue and white checkers. May be paired with (or fending off) ⚔️ Crossed Swords or 🗡️ Dagger. Not to be confused with 🔰 Japanese Symbol for Beginner.",,Shield was approved as part of Unicode 7.0 in 2014 and added to Emoji 1.0 in 2015.,
shinto-shrine,"A shrine used for the Japanese Shinto religion. This emoji generally displays the torii, which is the gate to the Shinto Shrine. The torii is generally a red colored structure, with a curved roof section above two posts. This icon is used on maps in Japan to represent the location of a Shinto Shrine, similar to how the hot springs emoji is the icon used on Japanese maps to show the location of an onsen.",,Shinto Shrine was approved as part of Unicode 5.2 in 2009 and added to Emoji 1.0 in 2015.,
ship,"A large ship, used for transport of people or cargo across the ocean. May be a cruise ship, commonly found around tropical locations.",,Ship was approved as part of Unicode 6.0 in 2010 and added to Emoji 1.0 in 2015.,
shooting-star,"A stylized representation of a shooting star, a small, fast meteor that burns up in the atmosphere. Generally depicted as a gold, five-point star trailing yellow motion lines against a night sky, as if moving down to the left. May be used for astronomical stars and other content concerning space. Also may be used for flair or flourish. Sometimes used as a visual reference to NBC’s More You Know public service announcement, popular in the 1990s and featuring a shooting star logo. Not to be confused with 💫 Dizzy, ⭐ Star, 🌟 Glowing Star, or ✨ Sparkles, though their applications may overlap. Google’s star was previously trailed, without backdrop, by yellow lines, though these lines were blue in an even earlier design. Microsoft’s star was also previously trailed, without backdrop, by blue lines, though they were yellow before that.",,Shooting Star was approved as part of Unicode 6.0 in 2010 and added to Emoji 1.0 in 2015.,
shopping-bags,"Two colorful shopping bags, as contain consumer items bought at a department store. Depicted as gift bags in various bright colors, patterns, sizes, and positions across platforms. Apple's design, for instance, features a pink bag with light-pink dots in front of a gold bag with yellow stripes. Commonly used for various content concerning retail shopping, stores, goods, and gifts or presents. May also convey a sense of indulgence or self-care, à la retail therapy. Microsoft’s design previously included tissue paper, and was depicted as a bag of groceries prior to that.",,Shopping Bags was approved as part of Unicode 7.0 in 2014 and added to Emoji 1.0 in 2015.,
shopping-cart,,,Shopping Cart was approved as part of Unicode 9.0 in 2016 under the name “Shopping Trolley” and added to Emoji 3.0 in 2016.,
shortcake,"A slice of strawberry shortcake, layered with whipped cream and topped with a whole strawberry. Like the Birthday Cake, may be used to represent birthday celebrations or cake in general.",,Shortcake was approved as part of Unicode 6.0 in 2010 and added to Emoji 1.0 in 2015.,
shorts,"Shorts or swimming trunks. This emoji is shown in different colors and styles across platforms. Most platforms depict this emoji in a casual sporty style. Related emojis include 👙 Bikini, 🩲 Briefs, and 🩱 One-Piece Swimsuit.",,Shorts was approved as part of Unicode 12.0 in 2019 and added to Emoji 12.0 in 2019.,
shower,"A silver shower head, streaming water to the left. Pressure level varies across platforms. 🧼 Soap not provided. Commonly used for various content concerning bathing, washing, cleaning, and water. Shower heads are also featured in 🛁 Bathtub and 🛀 Person Taking a Bath.",,Shower was approved as part of Unicode 6.0 in 2010 and added to Emoji 1.0 in 2015.,
shrimp,"A shrimp (prawn), a small crustacean with a long tail. Generally depicted as a reddish-orange shrimp (as cooked) in full profile facing left, with tiny eyes, many limbs, and its long antennae curling back as its long tail curls in. May be consumed in the form of 🍤 Fried Shrimp or 🥘 Shallow Pan of Food. Often used to represent seafood. The antennae of Apple’s shrimp curls under its body. The body of Facebook’s shrimp is straight. Google and Samsung’s shrimp previously faced right.",,Shrimp was approved as part of Unicode 9.0 in 2016 and added to Emoji 3.0 in 2016.,
shuffle-tracks-button,Two arrows pointing right while crossing over one another. Used to indicate putting music on shuffle: randomizing the order of tracks in the upcoming playlist. May also be used to indicate two items switching places.,,Shuffle Tracks Button was approved as part of Unicode 6.0 in 2010 under the name “Twisted Rightwards Arrows” and added to Emoji 1.0 in 2015.,
shushing-face,"A yellow face placing an index finger over pursed lips, as if issuing Shh! or Shush! for silence. Some platforms feature raised eyebrows. Apple’s design suggests the face is tilting back slightly.  May convey silence, quiet, secrecy, and discreetness. May also create a sense of buzz and anticipation, e.g., an exclusive sneak peek or news scoop. See also 🤐 Zipper-Mouth Face. Joins 🤗 Hugging Face, 🤔 Thinking Face, and 🤭 Face With Hand Over Mouth as one of the few smileys featuring hands.",,Shushing Face was approved as part of Unicode 10.0 in 2017 under the name “Face with Finger Covering Closed Lips” and added to Emoji 5.0 in 2017.,
sign-of-the-horns-dark-skin-tone,,The Sign of the Horns: Dark Skin Tone emoji is a modifier sequence combining 🤘 Sign of the Horns and 🏿 Dark Skin Tone.These display as a single emoji on supported platforms.,Sign of the Horns: Dark Skin Tone was added to Emoji 2.0 in 2015.,
sign-of-the-horns-light-skin-tone,,The Sign of the Horns: Light Skin Tone emoji is a modifier sequence combining 🤘 Sign of the Horns and 🏻 Light Skin Tone.These display as a single emoji on supported platforms.,Sign of the Horns: Light Skin Tone was added to Emoji 2.0 in 2015.,
sign-of-the-horns-medium-dark-skin-tone,,The Sign of the Horns: Medium-Dark Skin Tone emoji is a modifier sequence combining 🤘 Sign of the Horns and 🏾 Medium-Dark Skin Tone.These display as a single emoji on supported platforms.,Sign of the Horns: Medium-Dark Skin Tone was added to Emoji 2.0 in 2015.,
sign-of-the-horns-medium-light-skin-tone,,The Sign of the Horns: Medium-Light Skin Tone emoji is a modifier sequence combining 🤘 Sign of the Horns and 🏼 Medium-Light Skin Tone.These display as a single emoji on supported platforms.,Sign of the Horns: Medium-Light Skin Tone was added to Emoji 2.0 in 2015.,
sign-of-the-horns-medium-skin-tone,,The Sign of the Horns: Medium Skin Tone emoji is a modifier sequence combining 🤘 Sign of the Horns and 🏽 Medium Skin Tone.These display as a single emoji on supported platforms.,Sign of the Horns: Medium Skin Tone was added to Emoji 2.0 in 2015.,
sign-of-the-horns,"A ""rock on"" hand gesture raising the pinky and index fingers on one hand, which a variety of other meanings.",,Sign of the Horns was approved as part of Unicode 8.0 in 2015 and added to Emoji 1.0 in 2015.,
singer-dark-skin-tone,,"The Singer: Dark Skin Tone emoji is a ZWJ sequence combining 🧑 Person, 🏿 Dark Skin Tone, ‍ Zero Width Joiner and 🎤 Microphone.These display as a single emoji on supported platforms.",Singer: Dark Skin Tone was added to Emoji 12.1 in 2019.,
singer-light-skin-tone,,"The Singer: Light Skin Tone emoji is a ZWJ sequence combining 🧑 Person, 🏻 Light Skin Tone, ‍ Zero Width Joiner and 🎤 Microphone.These display as a single emoji on supported platforms.",Singer: Light Skin Tone was added to Emoji 12.1 in 2019.,
singer-medium-dark-skin-tone,,"The Singer: Medium-Dark Skin Tone emoji is a ZWJ sequence combining 🧑 Person, 🏾 Medium-Dark Skin Tone, ‍ Zero Width Joiner and 🎤 Microphone.These display as a single emoji on supported platforms.",Singer: Medium-Dark Skin Tone was added to Emoji 12.1 in 2019.,
singer-medium-light-skin-tone,,"The Singer: Medium-Light Skin Tone emoji is a ZWJ sequence combining 🧑 Person, 🏼 Medium-Light Skin Tone, ‍ Zero Width Joiner and 🎤 Microphone.These display as a single emoji on supported platforms.",Singer: Medium-Light Skin Tone was added to Emoji 12.1 in 2019.,
singer-medium-skin-tone,,"The Singer: Medium Skin Tone emoji is a ZWJ sequence combining 🧑 Person, 🏽 Medium Skin Tone, ‍ Zero Width Joiner and 🎤 Microphone.These display as a single emoji on supported platforms.",Singer: Medium Skin Tone was added to Emoji 12.1 in 2019.,
singer,"A singer or rock star generally displayed with a microphone, and sometimes musical notes. iOS and Android display this emoji as a Bowie-esque figure while WhatsApp appears heavily inspired by Prince.","The Singer emoji is a ZWJ sequence combining 🧑 Person, ‍ Zero Width Joiner and 🎤 Microphone.These display as a single emoji on supported platforms.",Singer was added to Emoji 12.1 in 2019.,
six-oclock,,,Six O’Clock was approved as part of Unicode 6.0 in 2010 under the name “Clock Face Six O’Clock” and added to Emoji 1.0 in 2015.,
six-thirty,,,Six-Thirty was approved as part of Unicode 6.0 in 2010 under the name “Clock Face Six-Thirty” and added to Emoji 1.0 in 2015.,
skateboard,"A skateboard emoji, usually showing the board from the top. Twitter's design shows the under-side of the board, as did a previous Microsoft design. Emojipedia's sample image was modelled after Tony Hawk's skateboard.",,Skateboard was approved as part of Unicode 11.0 in 2018 and added to Emoji 11.0 in 2018.,
skier,"A person downhill-skiiing. Displayed with poles and skis, generally wearing a mask. Platforms vary in display of scarf, helmet, and color of clothing. No gendered options are provided for this emoji. Skin tones support is not recommended for this emoji, but this is supported by some platforms.",,Skier was approved as part of Unicode 5.2 in 2009 and added to Emoji 1.0 in 2015.,
skis,"A pair of skis which are shown on some platforms alongside ski poles and/or ski boots. The color and design of the skis varies by platform, with some versions also showing the skis moving at speed. Distinct from the skier emoji which features a person skiing.",,Skis was approved as part of Unicode 6.0 in 2010 under the name “Ski and Ski Boot” and added to Emoji 1.0 in 2015.,
skull-and-crossbones,"A cartoon human skull atop an X-shaped pair of bones, as on a pirate flag or poison symbol. Samsung’s design previously displayed a skull and crossbones on a yellow triangle, indicating a hazardous material. May represent various ideas of death or danger, e.g., dying from laughter or killing it with great skill. May also represent various pirate characters or mascots. Popular around Halloween. Not to be confused with 💀 Skull, though their applications may overlap.",,Skull and Crossbones was approved as part of Unicode 1.1 in 1993 and added to Emoji 1.0 in 2015.,
skull,"A whitish-gray, cartoon-styled human skull with large, black eye sockets. Commonly expresses figurative death, e.g., dying from extreme laughter, frustration, or affection. Popular around Halloween. Not to be confused with ☠️ Skull and Crossbones, though their applications may overlap. Available as an Apple Animoji.",,Skull was approved as part of Unicode 6.0 in 2010 and added to Emoji 1.0 in 2015.,
skunk,"A skunk, a bushy-tailed mammal that sprays a foul odor when threatened. Depicted in full profile on all fours facing left, with black hair and its distinctive white stripe running from its head down to a curled-up tail. Google’s original skunk design bore a humorously haughty air.",,Skunk was approved as part of Unicode 12.0 in 2019 and added to Emoji 12.0 in 2019.,
sled,"A sled, otherwise known as a toboggan or sledge.",,Sled was approved as part of Unicode 10.0 in 2017 and added to Emoji 5.0 in 2017.,
sleeping-face,"A yellow face with eyes closed and mouth letting out three, cartoon-styled Zzz’s overhead to indicate it's sound asleep. The Zzz’s appear blue or purple across most platforms. May also represent boredom (slang, snooze). Generally used instead of 😪 Sleepy Face to convey sleep or sleepiness.",,Sleeping Face was approved as part of Unicode 6.1 in 2012 and added to Emoji 1.0 in 2015.,
sleepy-face,"A yellow face with closed eyes, mouth slightly open, and a blue snot bubble coming from its nose. Snot bubbles indicate a character is tired or sleeping in anime or manga. Not to be confused with 😴 Sleeping Face  While sometimes used to convey sadness, dissastification, or illness, Sleepy Face is also not to be confused with 😢 Crying Face, 😥 Sad but Relieved Face, or other emojis with tear or sweat droplets. Samsung’s design previously featured two, cartoon-styled, sleeping-symbol Zz’s overhead. A previous Microsoft design appeared similar to 😌 Relieved Face.",,Sleepy Face was approved as part of Unicode 6.0 in 2010 and added to Emoji 1.0 in 2015.,
slightly-frowning-face,"A yellow face with simple, open eyes and a slight frown. Often conveys a mild degree of concern, disappointment, or sadness, but usually less intensely than ☹️ Frowning Face. Samsung and Facebook previously included eyebrows.",,Slightly Frowning Face was approved as part of Unicode 7.0 in 2014 and added to Emoji 1.0 in 2015.,
slightly-smiling-face,"A yellow face with simple, open eyes and a thin, closed smile. Conveys a wide range of positive, happy, and friendly sentiments. Its tone can also be patronizing, passive-aggressive, or ironic, as if saying This is fine when it’s really not.",,Slightly Smiling Face was approved as part of Unicode 7.0 in 2014 and added to Emoji 1.0 in 2015.,
slot-machine,A gambling machine generally found in casinos. Shows three wheels with a lever to the side. Most platforms display three 7 digits on this emoji.,,Slot Machine was approved as part of Unicode 6.0 in 2010 and added to Emoji 1.0 in 2015.,
sloth,"A sloth, the slow-moving, tree-dwelling mammal. Depicted as a light-brown sloth with a wide, whitish, masked face hanging from a tree branch, facing left or right. Generally shown as a three-toed sloth.",,Sloth was approved as part of Unicode 12.0 in 2019 and added to Emoji 12.0 in 2019.,
small-airplane,A light aircraft which is shown with propellers on some platforms.,,Small Airplane was approved as part of Unicode 7.0 in 2014 and added to Emoji 1.0 in 2015.,
small-blue-diamond,,,Small Blue Diamond was approved as part of Unicode 6.0 in 2010 and added to Emoji 1.0 in 2015.,
small-orange-diamond,A small version of the large orange diamond emoji.,,Small Orange Diamond was approved as part of Unicode 6.0 in 2010 and added to Emoji 1.0 in 2015.,
smiling-cat-with-heart-eyes,A cartoon cat variant of 😍 Smiling Face With Heart-Eyes. Depicted as yellow on major platforms.,,Smiling Cat with Heart-Eyes was approved as part of Unicode 6.0 in 2010 under the name “Smiling Cat Face with Heart-Shaped Eyes” and added to Emoji 1.0 in 2015.,
smiling-face-with-halo,"A yellow face with smiling eyes, closed smile, and halo, usually blue, overhead. Often represents angels, prayers, and blessings. May also convey angelic behavior, e.g., doing good deeds. See also 👼 Baby Angel. Several platforms, including Apple, feature an expression similar to their 😊 Smiling Face With Smiling Eyes.",,Smiling Face with Halo was approved as part of Unicode 6.0 in 2010 and added to Emoji 1.0 in 2015.,
smiling-face-with-heart-eyes,"A yellow face with an open smile, sometimes showing teeth, and red, cartoon-styled hearts for eyes. Often conveys enthusiastic feelings of love, infatuation, and adoration, e.g., I love/am in love with this person or thing. This emoji has a cat variant, 😻 Smiling Cat Face With Heart-Eyes.",,Smiling Face with Heart-Eyes was approved as part of Unicode 6.0 in 2010 under the name “Smiling Face with Heart-Shaped Eyes” and added to Emoji 1.0 in 2015.,
smiling-face-with-hearts,"A yellow face with smiling eyes, a closed smile, rosy cheeks, and several hearts floating around its head. Expresses a range of happy, affectionate feelings, especially being in love. The placement of the hearts varies slightly by platform. Apple's design features the same expression as its ☺️ Smiling Face emoji design.  ",,Smiling Face with Hearts was approved as part of Unicode 11.0 in 2018 under the name “Smiling Face with Smiling Eyes and Three Hearts” and added to Emoji 11.0 in 2018.,
smiling-face-with-horns,"A face, usually purple, with devil horns, a wide grin, and eyes and eyebrows scrunched downward in the same manner as 😠 Angry Face on most platforms. Google’s design is red and Facebook’s has black horns and green eyes. Commonly used to convey mischief, naughtiness, and excitement or excellence (slang, bad or wicked). May also represent devils or devilish behavior, especially around Halloween. More playful and suggestive than its impish counterpart, 👿 Angry Face With Horns. Google and Samsung previously depicted orangish-red characters, with Google once featuring a frown and Samsung a sharp snaggletooth.",,Smiling Face with Horns was approved as part of Unicode 6.0 in 2010 and added to Emoji 1.0 in 2015.,
smiling-face-with-smiling-eyes,"A yellow face with smiling eyes and a broad, closed smile turning up to rosy cheeks. Often expresses genuine happiness and warm, positive feelings. An emoji form of the ^^ emoticon. On Snapchat, this emoji next to a contact denotes that you message that person often but they aren't your #1 Best Friend.",,Smiling Face with Smiling Eyes was approved as part of Unicode 6.0 in 2010 and added to Emoji 1.0 in 2015.,
smiling-face-with-sunglasses,"A yellow face with a broad, closed smile wearing black sunglasses, as if a pair of classic Wayfarers. Often used to convey the slang sense of cool. May also express a confident, carefree attitude or that something is excellent. 🤓 Nerd Face wears similarly shaped eyeglasses. On Snapchat, this emoji next to a contact denotes that you have best friends in common with this person.",,Smiling Face with Sunglasses was approved as part of Unicode 6.0 in 2010 and added to Emoji 1.0 in 2015.,
smiling-face-with-tear,"A yellow face with open eyes, a thin closed-mouth smile, and a single tear falling from one of its eyes. Can be used to express a wide range of emotions and expressions including gratitude, tender happiness, an attempt to look happy when actually sad, or smiling through pain. Can also be a response to something that is bittersweet. This emoji and 🙂 Slightly Smiling Face have a similar smile, and 😢 Crying Face and 😿 Crying Cat have a similar lone tear. Not to be confused with 😂 Face with Tears of Joy, which has a wide toothy grin and tears coming from both eyes.",,Smiling Face with Tear was approved as part of Unicode 13.0 in 2020 and added to Emoji 13.0 in 2020.,
smiling-face,"A classic smiley. A yellow face with a modest smile, rosy cheeks, and soft, closed eyes. Many platforms, including Apple, feature relaxed eyebrows. Conveys a wide range of warm, positive feelings, including love, happiness, and gratitude. Similar to 😊 Smiling Face With Smiling Eyes, which has a broader smile, no eyebrows, and smiling eyes. This smiley predates Unicode emoji support. In its Unicode name of White Smiling Face, white does not refer to skin tone or ethnicity. See the glossary for the term white in Unicode character names.",,Smiling Face was approved as part of Unicode 1.1 in 1993 under the name “White Smiling Face” and added to Emoji 1.0 in 2015.,
smirking-face,"A yellow face with a sly, smug, mischievous, or suggestive facial expression. It features a half-smile, raised eyebrows, and eyes looking to the side. Often used to convey flirtation or sexual innuendo. Not to be confused with 😒 Unamused Face, which has similar eyes but a pouting mouth. This emoji has a cat variant, 😼 Cat Face With Wry Smile. On Snapchat, this emoji next to a contact denotes that this person snaps you frequently but you do not often snap them in return.",,Smirking Face was approved as part of Unicode 6.0 in 2010 and added to Emoji 1.0 in 2015.,🚩 Appearance historically differs greatly cross-platform. Use with caution. 🚨
snail,"A snail, a slow-moving, snail-like mollusk in a spiraling shell. Generally depicted as a brown snail in full profile facing left or right, with a brown, textured shell and tentacle-like eyes. May be used to represent a slug and various senses of slow. Twitter’s snail has a purple body and yellow shell. Microsoft’s snail previously had a green body.",,Snail was approved as part of Unicode 6.0 in 2010 and added to Emoji 1.0 in 2015.,
snake,"A snake, a slithering reptile without limbs. Generally depicted as a yellowish-green snake facing left, with a long, coiled body and flicking a red, forked tongue. May be used for various metaphorical senses of snake. One of the 12 animals of the Chinese zodiac. May also be used in association with ⛎ Ophiuchus, the Serpent-Bearer, sometimes considered a 13th sign of the Western zodiac. Samsung’s snake was previously facing forward.",,Snake was approved as part of Unicode 6.0 in 2010 and added to Emoji 1.0 in 2015.,
sneezing-face,"A yellow face with scrunched, X-shaped eyes sneezing or blowing its nose into a white tissue, as if from a cold or allergies. Often depicted with a crumpled-looking mouth. May also represent someone in an emotional state wiping away tears, as at a wedding.",,Sneezing Face was approved as part of Unicode 9.0 in 2016 and added to Emoji 3.0 in 2016.,
snow-capped-mountain,A mountain with snow resting at higher altitudes. Similar in appearance to the Mount Fuji emoji.,,Snow-Capped Mountain was approved as part of Unicode 7.0 in 2014 under the name “Snow Capped Mountain” and added to Emoji 1.0 in 2015.,
snowboarder-dark-skin-tone,,The Snowboarder: Dark Skin Tone emoji is a modifier sequence combining 🏂 Snowboarder and 🏿 Dark Skin Tone.These display as a single emoji on supported platforms.,Snowboarder: Dark Skin Tone was added to Emoji 2.0 in 2015.,
snowboarder-light-skin-tone,,The Snowboarder: Light Skin Tone emoji is a modifier sequence combining 🏂 Snowboarder and 🏻 Light Skin Tone.These display as a single emoji on supported platforms.,Snowboarder: Light Skin Tone was added to Emoji 2.0 in 2015.,
snowboarder-medium-dark-skin-tone,,The Snowboarder: Medium-Dark Skin Tone emoji is a modifier sequence combining 🏂 Snowboarder and 🏾 Medium-Dark Skin Tone.These display as a single emoji on supported platforms.,Snowboarder: Medium-Dark Skin Tone was added to Emoji 2.0 in 2015.,
snowboarder-medium-light-skin-tone,,The Snowboarder: Medium-Light Skin Tone emoji is a modifier sequence combining 🏂 Snowboarder and 🏼 Medium-Light Skin Tone.These display as a single emoji on supported platforms.,Snowboarder: Medium-Light Skin Tone was added to Emoji 2.0 in 2015.,
snowboarder-medium-skin-tone,,The Snowboarder: Medium Skin Tone emoji is a modifier sequence combining 🏂 Snowboarder and 🏽 Medium Skin Tone.These display as a single emoji on supported platforms.,Snowboarder: Medium Skin Tone was added to Emoji 2.0 in 2015.,
snowboarder,A person snowboarding downhill at a ski resort. Wearing clothing designed for cold climates.,,Snowboarder was approved as part of Unicode 6.0 in 2010 and added to Emoji 1.0 in 2015.,
snowflake,"The unique, feathery ice crystal of a snowflake. Depicted as a bluish-white snowflake with six intricate symmetrical branches. Like 🌨️ Cloud With Snow, may be used as a weather icon to represent a snowstorm or a cold, snowy day. May also be used for various content concerning wintertime, cold climates, and winter activity, such as skiing. Sometimes used as an insult to call a person weak and oversensitive.",,Snowflake was approved as part of Unicode 1.1 in 1993 and added to Emoji 1.0 in 2015.,
snowman-without-snow,"A classic snowman, as Frosty the Snowman. Depicted as a snowman, facing forward, made from two or three large snowballs and stick arms, dressed with a top hat, a carrot nose, coal eyes, and two or three buttons on its torso. Sometimes shown with a smile and a red scarf. Often used for various content concerning winter fun and Christmastime. Vendors implement the same figure for their ☃️ Snowman, but which has snowflakes falling on it. Google’s snowman is wearing green gloves, though its snowman previously lacked any attire. Samsung's previously lacked a hat.",,Snowman Without Snow was approved as part of Unicode 5.2 in 2009 and added to Emoji 1.0 in 2015.,
snowman,"A classic snowman, as Frosty the Snowman, with snowflakes falling on it. Depicted as a snowman, facing forward, made from two or three large snowballs and stick arms, dressed with a top hat, a carrot nose, coal eyes, and two or three buttons on its torso. Sometimes shown with a smile and a red scarf. Often used for various content concerning winter fun and Christmastime. Vendors implement the same figure for their ⛄ Snowman Without Snow, which does not have snowflakes. Google’s snowman previously wore green gloves, while Samsung's design previously lacked a hat. This snowman predates Unicode emoji support, which explains why it may display as the black-and-white outline of a snowman.",,Snowman was approved as part of Unicode 1.1 in 1993 and added to Emoji 1.0 in 2015.,
soap,"A bar of soap, as used in the shower, bath or for hand washing. Generally shown with lathered bubbles. Depicted in various colors, often pink, and at different angles. Commonly used for various content concerning bathing, washing, and cleaning. May be used to represent the opposite of dirt or being dirty. Recommended for use to prevent the spread of COVID-19.",,Soap was approved as part of Unicode 11.0 in 2018 under the name “Bar of Soap” and added to Emoji 11.0 in 2018.,
soccer-ball,"A round, black and white ball used in the game of soccer, which is known as football in much of the world. See also: emojis for the World Cup.",,Soccer Ball was approved as part of Unicode 5.2 in 2009 and added to Emoji 1.0 in 2015.,
socks,,,Socks was approved as part of Unicode 10.0 in 2017 and added to Emoji 5.0 in 2017.,
soft-ice-cream,"A swirl of soft-serve ice cream atop a wafer-style cone, white or cream-colored, as vanilla, on most platforms. Facebook’s design suggests strawberry. May be used more generally for ice cream, frozen yogurt, and frozen treats.",,Soft Ice Cream was approved as part of Unicode 6.0 in 2010 and added to Emoji 1.0 in 2015.,
softball,"A softball, which is differentiated from a baseball by size (it is larger, though hard to tell in emoji form) and color (yellow, not white).",,Softball was approved as part of Unicode 11.0 in 2018 and added to Emoji 11.0 in 2018.,
soon-arrow,"The word ""soon"" with an arrow above it, pointing to the right.",,Soon Arrow was approved as part of Unicode 6.0 in 2010 under the name “Soon with Rightwards Arrow Above” and added to Emoji 1.0 in 2015.,
sos-button,SOS is the description for the distress signal in Morse Code. This emoji means SOS or “emergency”.,,SOS Button was approved as part of Unicode 6.0 in 2010 under the name “Squared SOS” and added to Emoji 1.0 in 2015.,
spade-suit,"A spade symbol emoji, which is used in card games for the spades suit. Apple's design previously displayed the black spade symbol on a white playing card. See the glossary for information on the term black in unicode character names.",,Spade Suit was approved as part of Unicode 1.1 in 1993 under the name “Black Spade Suit” and added to Emoji 1.0 in 2015.,
spaghetti,"A plate of Italian spaghetti with tomato sauce, as a bolognese, with a fork twirling its long, thin noodles. Garnished with a green herb, as parsley, on some platforms.",,Spaghetti was approved as part of Unicode 6.0 in 2010 and added to Emoji 1.0 in 2015.,
sparkle,"Used a decorative bullet-point, the sparkle has both a ❇︎ text and ❇️ emoji presentation available on most platforms.",,Sparkle was approved as part of Unicode 1.1 in 1993 and added to Emoji 1.0 in 2015.,
sparkler,"A  sparkler: a form of hand-held firework often used at parties and celebrations. The sparkler is lit at one end, and held at the other.  Most platforms display this with the lit end held down, as is the style for senko hanabi (""incense-stick fireworks"") which is a traditional sparkler from from Japan.",,Sparkler was approved as part of Unicode 6.0 in 2010 under the name “Firework Sparkler” and added to Emoji 1.0 in 2015.,
sparkles,"The glittering flashes of sparkles. Generally depicted as a cluster of three, yellow four-point stars, with one large sparkle and two small ones to its left or right. Commonly used to indicate various positive sentiments, including love, happiness, beauty, gratitude, and excitement, as well as newness or cleanliness. May also be used as a form of ✨emphasis✨ or to convey sarcastic or mocking tones. Both Microsoft and Twitter’s sparkles were previously multicolored, while Samsung’s sparkles were previously depicted on a night sky, suggesting firework sparklers.  Twitter's mobile app uses ✨ Sparkles as a button users can tap to toggle between latest and top tweets on their timeline. Similar emojis with less implied meaning include ⭐ Star, 🌟 Glowing Star, and 💫 Dizzy.",,Sparkles was approved as part of Unicode 6.0 in 2010 and added to Emoji 1.0 in 2015.,
sparkling-heart,"A pink love heart with stars around it, making it look like it is sparkling or shimmering.",,Sparkling Heart was approved as part of Unicode 6.0 in 2010 and added to Emoji 1.0 in 2015.,
speak-no-evil-monkey,"The speak no evil monkey, called Iwazaru (Japanese for “say not”), one of the Three Wise Monkeys. Depicted as the brown 🐵 Monkey Face with hands covering its mouth. The Three Wise Monkeys represent the proverb see no evil, hear no evil, speak no evil, frequently interpreted as a call for discretion or willful ignorance. Often used as a playful way to convey I can’t believe what I just said!, express a mischievous Oops!, or communicate a secret-keeping I won’t say a word. May be used to similar effect as 🤭 Face With Hand Over Mouth or 🤐 Zipper Mouth. See also 🙈 See-No-Evil Monkey and 🙉 Hear-No-Evil Monkey. This emoji is considered racist in some contexts, particularly when used to disparage, insult, and abuse people with dark skin, especially Black people.",,Speak-No-Evil Monkey was approved as part of Unicode 6.0 in 2010 and added to Emoji 1.0 in 2015.,
speaker-high-volume,"A speaker cone displayed with three sound waves, generally used as an icon to indicate the increasing of volume on a phone or computer.",,Speaker High Volume was approved as part of Unicode 6.0 in 2010 under the name “Speaker with Three Sound Waves” and added to Emoji 1.0 in 2015.,
speaker-low-volume,A speaker cone displayed without any sound waves.,,Speaker Low Volume was approved as part of Unicode 6.0 in 2010 under the name “Speaker” and added to Emoji 1.0 in 2015.,
speaker-medium-volume,"A speaker cone displayed with one sound wave, generally used as an icon to indicate the decreasing of volume on a phone or computer. Previously displayed with two sound waves on Android, instead of one.",,Speaker Medium Volume was approved as part of Unicode 6.0 in 2010 under the name “Speaker with One Sound Wave” and added to Emoji 1.0 in 2015.,
speaking-head,"The silhouette of a person speaking. Faces left-to-right, with lines demonstrating speech being expelled. Sometimes used in the context of shouting or mansplaining.",,Speaking Head was approved as part of Unicode 7.0 in 2014 under the name “Speaking Head in Silhouette” and added to Emoji 1.0 in 2015.,
speech-balloon,A cartoon-style balloon used to represent spoken word in comics. Sometimes  used in communication apps to indicate that another person is typing a message.,,Speech Balloon was approved as part of Unicode 6.0 in 2010 and added to Emoji 1.0 in 2015.,
speedboat,"A motorized speedboat used for recreation on lakes, or other bodies of water.",,Speedboat was approved as part of Unicode 6.0 in 2010 and added to Emoji 1.0 in 2015.,
spider-web,"A classic spider web (cobweb), as spun by a 🕷️ Spider to catch prey. Depicted as a white, symmetrical, wheel-shaped web, as an orb web, with six or eight equal sectors. Commonly used during Halloween, to represent the superhero Spider-Man, or for a metaphorical web, net, or network. Not to be confused with ❄️ Snowflake.",,Spider Web was approved as part of Unicode 7.0 in 2014 and added to Emoji 1.0 in 2015.,
spider,"A spider, an eight-legged arachnid that spins a web. Depicted as a common black spider, as a house spider or funnel-web spider, often shown from above with its large abdomen oriented at the bottom. See also 🕸️ Spider Web. Commonly used during Halloween and to represent the superhero Spider-Man. Facebook’s spider is facing left. Google's spider was previously upside down, suspended from a thread, though now is facing left. Microsoft’s spider was previously a black widow, while Samsung’s was brown.",,Spider was approved as part of Unicode 7.0 in 2014 and added to Emoji 1.0 in 2015.,
